"","S1","S2","S3","S4","S5","S6","S8","S9"
"0610005C13Rik",0,6,8,4,2,10,6,1
"0610009B22Rik",439,338,260,299,237,374,297,253
"0610009E02Rik",686,570,377,503,371,436,433,260
"0610009L18Rik",42,27,8,42,26,29,31,16
"0610010F05Rik",585,552,525,525,446,384,591,392
"0610010K14Rik",1164,842,688,620,430,700,666,514
"0610012D04Rik",18,10,2,7,3,6,7,1
"0610012G03Rik",1251,913,747,763,533,589,759,559
"0610030E20Rik",1754,1437,956,996,994,1255,1207,686
"0610033M10Rik",0,0,2,1,0,8,4,0
"0610038B21Rik",18,9,5,8,19,8,18,1
"0610039K10Rik",108,125,120,46,122,70,75,98
"0610040B10Rik",14,16,8,7,9,26,10,13
"0610040F04Rik",261,161,178,250,204,231,244,92
"0610040J01Rik",831,807,533,369,424,411,388,332
"0610043K17Rik",0,6,0,1,5,5,4,3
"0710001A04Rik",11,0,7,5,1,0,3,0
"1010001N08Rik",0,0,2,2,2,6,0,0
"1110002E22Rik",0,0,0,1,4,2,0,7
"1110002J07Rik",180,142,83,128,107,257,175,55
"1110002L01Rik",85,80,86,86,60,76,83,66
"1110003F10Rik",5,3,1,6,2,2,3,2
"1110004F10Rik",3417,2418,1722,1668,1211,1888,1729,1148
"1110006O24Rik",18,8,17,21,11,36,19,17
"1110008P14Rik",1274,814,633,694,574,968,736,442
"1110012L19Rik",360,356,246,182,223,175,234,175
"1110013H19Rik",9,9,2,12,1,4,0,4
"1110017D15Rik",0,2,4,0,0,7,0,7
"1110019B22Rik",4,10,0,0,5,0,13,0
"1110019D14Rik",85,78,63,75,42,110,104,68
"1110020A21Rik",7,10,3,0,3,8,5,0
"1110025M09Rik",138,101,77,80,68,88,91,56
"1110028F11Rik",8,5,4,9,3,6,9,2
"1110032A03Rik",412,317,288,219,244,388,299,272
"1110032F04Rik",14,5,6,20,1,4,0,11
"1110035H17Rik",32,46,20,36,19,32,66,8
"1110038B12Rik",1004,620,588,602,436,480,694,332
"1110038F14Rik",924,638,470,476,415,506,556,288
"1110046J04Rik",16,14,38,24,10,21,14,19
"1110051M20Rik",978,698,576,605,436,478,559,298
"1110059E24Rik",1339,853,644,628,481,622,686,522
"1110059G10Rik",738,623,379,357,325,468,460,407
"1110065P20Rik",250,174,129,168,109,166,179,84
"1190001M18Rik",0,0,5,6,5,0,6,6
"1190005I06Rik",16,4,1,6,2,2,2,0
"1190007I07Rik",168,95,102,86,66,99,86,87
"1200007C13Rik",68,49,18,27,36,26,53,12
"1300002E11Rik",158,162,116,124,110,193,146,94
"1300014J16Rik",18,8,3,21,6,15,30,12
"1300017J02Rik",0,6,1,0,7,6,3,0
"1500002C15Rik",813,455,371,442,329,302,382,216
"1500002F19Rik",45,49,34,30,44,40,36,31
"1500004A13Rik",399,412,300,300,342,390,386,179
"1500005C15Rik",28,16,13,2,6,17,25,14
"1500009C09Rik",3,5,4,11,8,4,11,3
"1500009L16Rik",14,0,2,9,1,0,7,4
"1500011B03Rik",832,490,412,372,305,397,456,410
"1500015A07Rik",109,94,66,67,40,112,77,46
"1500026H17Rik",1,2,5,1,1,0,0,0
"1500035N22Rik",0,12,1,5,0,0,6,0
"1600002D24Rik",49,11,8,28,12,31,27,10
"1600002K03Rik",360,147,227,216,119,78,148,95
"1600010M07Rik",570,543,242,335,315,602,426,300
"1600012H06Rik",1772,1426,1087,974,851,1099,1179,877
"1600014C10Rik",11394,10170,4919,6691,6243,6114,5603,4243
"1600014C23Rik",9,14,3,10,3,9,11,0
"1600020E01Rik",251,194,126,128,118,250,225,44
"1600022D10Rik",79,148,12,42,25,59,44,27
"1600023N17Rik",3,0,2,2,0,11,2,1
"1700001C19Rik",2,5,0,1,2,7,4,0
"1700001G11Rik",19,3,2,2,2,0,5,8
"1700001G17Rik",10,10,4,4,2,0,3,0
"1700001J03Rik",1,4,2,1,3,9,1,0
"1700001K19Rik",16,13,4,6,3,13,10,10
"1700001K23Rik",5,0,3,6,7,0,9,8
"1700001L05Rik",150,152,73,88,60,62,52,44
"1700001O22Rik",11,3,2,0,1,0,0,0
"1700001P01Rik",2,3,1,1,3,22,5,0
"1700003D09Rik",11,10,6,7,3,2,5,6
"1700003E16Rik",15,5,4,1,5,0,0,8
"1700003F12Rik",4,0,5,8,4,0,6,10
"1700003I16Rik",5,13,0,10,4,26,12,1
"1700003N22Rik",120,118,78,111,101,51,102,59
"1700006J14Rik",88,82,57,58,66,108,152,50
"1700007E05Rik",9,0,0,1,2,7,4,2
"1700007J10Rik",29,23,36,34,30,31,36,6
"1700007K13Rik",2,2,0,4,2,0,0,0
"1700007L15Rik",16,20,8,10,14,16,16,7
"1700008B11Rik",0,12,1,5,4,0,6,0
"1700008J07Rik",63,58,56,51,52,48,41,64
"1700008O03Rik",0,2,1,0,4,3,6,6
"1700010I14Rik",49,39,47,45,36,50,65,38
"1700011B04Rik",2,0,0,5,2,0,0,0
"1700012B09Rik",25,2,6,10,2,1,0,0
"1700012D14Rik",28,14,13,14,4,15,8,9
"1700014D04Rik",0,3,0,0,0,23,8,4
"1700015O11Rik",4,0,1,0,0,4,2,0
"1700016A09Rik",2,5,2,4,4,1,8,0
"1700016B15Rik",2,4,2,2,2,2,0,1
"1700016C15Rik",1,7,2,5,2,22,1,4
"1700016D08Rik",4,4,2,2,2,1,2,3
"1700016F12Rik",18,6,6,3,26,22,23,14
"1700016G22Rik",2,5,0,2,0,0,0,5
"1700016P03Rik",414,196,117,203,109,221,229,98
"1700017B05Rik",2830,2392,1917,2828,2176,2279,3109,1304
"1700017D01Rik",3,0,0,0,2,13,1,0
"1700017G19Rik",25,20,6,14,4,18,17,0
"1700018A23Rik",323,213,163,178,128,139,160,98
"1700018L02Rik",32,4,28,14,17,12,17,12
"1700018M17Rik",26,19,30,26,34,34,37,13
"1700019A23Rik",2,2,1,2,2,0,0,0
"1700019D03Rik",2,2,5,2,3,2,2,7
"1700019L13Rik",118,114,42,86,91,122,138,32
"1700020D05Rik",16,8,0,3,7,10,7,6
"1700020G17Rik",0,1,1,3,0,0,2,4
"1700020L24Rik",26,11,12,10,22,30,20,16
"1700020N01Rik",21,7,0,4,0,11,7,3
"1700021F05Rik",677,536,429,406,264,523,390,258
"1700021J08Rik",114,104,80,86,64,79,90,48
"1700022I11Rik",1385,782,751,788,561,468,455,364
"1700022N22Rik",38,26,22,24,14,10,18,6
"1700023B13Rik",372,198,167,304,314,227,284,53
"1700023F06Rik",3,0,0,1,0,2,5,0
"1700023H06Rik",102,82,42,74,43,106,188,60
"1700025G04Rik",1340,960,789,611,546,429,395,488
"1700025N21Rik",58,46,18,45,6,34,61,5
"1700025N23Rik",43,34,2,17,17,19,43,5
"1700026F02Rik",6,4,2,2,4,0,6,0
"1700027A07Rik",255,183,106,137,109,152,153,72
"1700027J07Rik",14,18,9,8,3,30,56,1
"1700028E10Rik",14,16,9,31,25,30,23,16
"1700028I16Rik",2,0,0,1,3,0,5,1
"1700028J19Rik",27,19,6,18,8,11,12,14
"1700028K03Rik",9,16,10,10,4,12,7,11
"1700028N14Rik",16,29,4,22,4,14,38,3
"1700029H14Rik",10,10,6,8,5,12,15,0
"1700029I15Rik",17,14,14,23,8,16,19,7
"1700029J07Rik",19,9,4,4,8,1,15,0
"1700029N11Rik",33,38,7,26,11,45,32,7
"1700030C10Rik",31,19,10,20,14,1,21,14
